dataset,method,mean_acc,std_acc
covtype,SHAP/Linear,0.8508037589067502,0.005006198458698253
covtype,L1/Linear,0.8663281814739596,0.0038826924795474296
covtype,L1,0.862662214725827,0.005702387995070677
covtype,corr -> SHAP,0.8733193349626518,0.0020808682219370196
covtype,SHAP -> corr,0.8739286083095246,0.002559981440973963
covtype,RE,0.8458744965749888,0.00497120543599278
covtype,DREP,0.8203022271178273,0.0017992453479092685
covtype,RF,0.7715534749234105,0.0016574720364159203
higgs,SHAP/Linear,0.70728,0.016812429925504493
higgs,L1/Linear,0.7220080000000001,0.0008310571580824101
higgs,L1,0.722856,0.0010563257073459686
higgs,corr -> SHAP,0.7227979999999999,0.0013851555869287783
higgs,SHAP -> corr,0.722474,0.000948021096811693
higgs,RE,0.7156840000000001,0.003751786774325008
higgs,DREP,0.694428,0.002791289307828895
higgs,RF,0.7010080000000001,0.0003556065241246347
magic,SHAP/Linear,0.861093585699264,0.00406438445638014
magic,L1/Linear,0.8576235541535226,0.008342243310325419
magic,L1,0.8614090431125131,0.005639153597388816
magic,corr -> SHAP,0.8410094637223974,0.004039826017307765
magic,SHAP -> corr,0.8479495268138801,0.00512341859729963
magic,RE,0.8585699263932703,0.0029926917919574384
magic,DREP,0.8474237644584648,0.006793533251404037
magic,RF,0.8584647739221871,0.001019491032053901
adult,SHAP/Linear,0.8598710469757446,0.00294877671563846
adult,L1/Linear,0.8555726128338963,0.002797859563990057
adult,L1,0.8545901136014737,0.0019281938554630128
adult,corr -> SHAP,0.8486337120049126,0.002362343759492935
adult,SHAP -> corr,0.85311636475284,0.00451492206193472
adult,RE,0.8585201105311636,0.0021129444929794336
adult,DREP,0.8564322996622659,0.0037179921407972287
adult,RF,0.8568007368744244,0.0009631186454625826
jm1,SHAP/Linear,0.7871441689623507,0.006129777509009599
jm1,L1/Linear,0.7876951331496787,0.006707798849494813
jm1,L1,0.7974288337924701,0.006324765971615251
jm1,corr -> SHAP,0.7663911845730027,0.01221821662330936
jm1,SHAP -> corr,0.7742883379247015,0.00395604393545235
jm1,RE,0.7992653810835628,0.0022191085350954107
jm1,DREP,0.7955922865013775,0.007079645644590036
jm1,RF,0.8067952249770431,0.0018908411645522654
weather,SHAP/Linear,0.7831497797356828,0.007577540710030678
weather,L1/Linear,0.7848017621145374,0.005228668489193503
weather,L1,0.7972466960352422,0.00382144307773072
weather,corr -> SHAP,0.7677312775330396,0.005790061422068273
weather,SHAP -> corr,0.7785242290748899,0.005320648603163534
weather,RE,0.7816079295154185,0.004575457726396683
weather,DREP,0.7915198237885462,0.006695455574260218
weather,RF,0.794273127753304,0.0029674435209928666
