dataset,data_type,n_samples,n_features,full_ensemble_mse,full_ensemble_rmse,full_ensemble_mae,full_ensemble_r2,meta_mse,meta_rmse,meta_mae,meta_r2,meta_prune_loss_final,meta_div_loss_final
3droad,regression,347899,3,176.2128,13.2745,10.2217,0.4818,80.5425,8.9745,6.3034,0.7632,1.4451,0.3636
bike,regression,13903,17,0.0878,0.2963,0.2145,0.9602,0.0249,0.1579,0.1057,0.9887,0.7766,0.7767
slice,regression,42800,385,76.5309,8.7482,5.9088,0.8489,18.0420,4.2476,2.2488,0.9644,1.2401,0.5133
houseelectric,regression,1639424,11,0.0500,0.2235,0.1642,0.9462,0.0048,0.0695,0.0494,0.9948,0.2540,0.9252
song,regression,412276,90,0.2777,0.5270,0.4315,0.1677,0.2477,0.4977,0.3969,0.2576,2.3985,0.1136
3droad,regression,347899,3,184.6548,13.5888,10.4809,0.4570,340.0695,18.4410,14.5892,-0.0000,-0.0000,0.0000
3droad,regression,347899,3,171.2111,13.0848,10.0432,0.4965,82.6798,9.0928,6.4377,0.7569,0.9800,0.3192
3droad,regression,347899,3,181.3843,13.4679,10.3989,0.4666,78.1149,8.8383,6.2548,0.7703,1.3041,0.3717
3droad,regression,347899,3,175.3676,13.2426,10.1749,0.4843,82.0278,9.0569,6.3738,0.7588,0.9800,0.3047
3droad,regression,347899,3,173.7099,13.1799,10.1308,0.4892,79.4109,8.9113,6.2893,0.7665,0.9655,0.2753
