dataset,timestamp,data_type,main_loss,total_loss,full_metric,pruned_metric
houseelectric ,2025-10-10 15:13:45,regression,0.0051,0.4663,0.0053,0.0052
keggdirected,2025-10-14 15:37:27,regression,0.0345,0.4086,0.0362,0.0362
tamielectric,2025-10-14 15:39:25,regression,0.0861,0.4698,0.0837,0.0837
protein,2025-10-14 15:43:13,regression,0.3744,0.7523,0.3946,0.3926
protein,2025-10-14 15:53:41,regression,0.3785,0.7662,0.3959,0.3931
protein,2025-10-14 15:56:56,regression,0.3754,0.7980,0.3942,0.3922
protein,2025-10-14 16:04:40,regression,0.3895,0.7599,0.4015,0.3965
protein,2025-10-14 16:12:48,regression,0.3768,0.7995,0.3939,0.3918
protein,2025-10-14 16:17:48,regression,0.3816,0.7866,0.3955,0.3933
protein,2025-10-14 16:20:01,regression,0.4489,0.8637,0.4526,0.4516
protein,2025-10-14 16:22:53,regression,0.4559,0.8506,0.4526,0.4520
houseelectric,2025-10-15 11:27:43,regression,0.0205,0.4673,0.0231,0.0229
houseelectric,2025-10-15 11:40:23,regression,0.0205,0.4270,0.0229,0.0223
3droad,2025-10-15 12:01:39,regression,294.1952,294.5073,291.1625,290.9879
bike,2025-10-15 12:04:18,regression,0.0527,0.4342,0.0692,0.0656
buzz,2025-10-15 12:12:14,regression,0.3914,0.6971,0.4005,0.3992
song,2025-10-15 12:44:27,regression,0.2820,0.5915,0.2894,0.2886
electric,2025-10-15 15:23:46,regression,0.0205,0.4250,0.0230,0.0227
cancer_data,2025-10-15 16:05:15,classification,0.9310,0.1115,0.9825,0.9649
cancer_data,2025-10-15 16:09:24,classification,0.9655,0.0757,0.9825,0.9649
cancer_data,2025-10-15 16:11:14,classification,0.9655,0.0750,0.9825,0.9474
gas,2025-10-15 16:17:09,regression,0.0494,0.4225,0.0814,0.0812
gas,2025-10-16 12:03:42,regression,0.0553,0.4127,0.1245,0.1197
bike,2025-10-16 12:04:44,regression,0.4041,0.7782,0.4638,0.4562
bike,2025-10-16 12:09:36,regression,0.4067,0.7835,0.4649,0.4593
bike,2025-10-16 12:10:27,regression,0.3927,0.7597,0.4606,0.4539
bike,2025-10-16 12:15:20,regression,0.4064,0.7835,0.4638,0.4562
bike,2025-10-16 12:15:51,regression,0.3964,0.7796,0.4615,0.4570
bike,2025-10-16 12:32:17,regression,0.3945,0.7554,0.4615,0.4528
bike,2025-10-16 12:48:03,regression,0.2193,0.5719,0.2777,0.2681
bike,2025-10-16 12:51:44,regression,1.2190,1.5272,1.4051,1.4034
bike,2025-10-16 12:52:38,regression,0.9273,1.2627,1.0789,1.0583
bike,2025-10-16 12:57:27,regression,0.0147,0.2801,0.0997,0.0566
bike,2025-10-16 13:10:33,regression,0.4107,0.8166,0.4596,0.4596
bike,2025-10-16 13:16:23,regression,0.0285,0.3194,0.2694,0.1659
bike,2025-10-16 13:18:22,regression,0.4050,0.7556,0.4695,0.4577
bike,2025-10-16 13:35:43,regression,0.0248,0.3013,0.2686,0.1516
bike,2025-10-16 13:38:22,regression,0.0303,0.3173,0.2705,0.1675
3droad,2025-10-16 14:07:15,regression,205.8681,206.1398,279.8553,273.8951
buzz,2025-10-16 14:09:41,regression,0.2743,0.6099,0.2882,0.2935
buzz,2025-10-16 14:12:54,regression,0.2760,0.6179,0.2881,0.2956
buzz,2025-10-16 14:15:04,regression,0.3624,0.7165,0.4458,0.4276
buzz,2025-10-16 14:17:50,regression,0.2902,0.6515,0.3048,0.3148
buzz,2025-10-16 14:22:01,regression,0.3007,0.6424,0.3169,0.3287
song,2025-10-16 14:30:30,regression,0.2747,0.6085,0.2959,0.2910
song,2025-10-16 14:38:59,regression,0.2635,0.6168,0.2915,0.2875
song,2025-10-16 14:42:57,regression,0.2666,0.5694,0.3034,0.2971
buzz,2025-10-20 12:00:34,regression,0.2758,0.6136,0.2878,0.2932
bike,2025-10-20 12:01:26,regression,0.0290,0.3244,0.2708,0.1539
bike,2025-10-20 12:04:33,regression,0.0294,0.3076,0.2700,0.1591
bike,2025-10-20 12:21:03,regression,0.0885,0.3632,0.4114,0.2691
buzz,2025-10-20 12:23:00,regression,0.3577,0.6531,0.4073,0.4064
bike,2025-10-20 13:02:17,regression,0.0900,0.4079,0.4314,0.3227
bike,2025-10-20 13:13:46,regression,0.0890,0.3806,0.4300,0.3177
bike,2025-10-20 13:26:11,regression,0.0285,0.3086,0.2813,0.1766
bike,2025-10-20 13:27:25,regression,0.0830,0.3664,0.4295,0.2805
bike,2025-10-20 13:28:51,regression,0.0135,0.3067,0.1109,0.0778
bike,2025-10-20 13:30:08,regression,0.0731,0.2828,0.2818,0.1998
